id,pag_final,qtd_pg_word,qtd_carc,qtd_tabela,qtd_image,qtd_estilos,Data,tamanho_livro
235882,66,20,12344,777,574,25.0,2020-08-26,1
235798,48,142,247205,578,498,26.0,2020-08-20,0
235909,54,38,75538,545,461,21.0,2020-09-02,1
235964,44,48,72824,832,635,16.0,2020-09-04,1
235979,62,45,72613,909,736,15.0,2020-09-14,1
235980,66,11,163469,148,270,15.0,2020-09-14,1
235981,90,28,65594,876,656,42.0,2020-11-09,1
0,30,70,95656,220,438,17.0,2020-11-09,1
235984,44,30,78414,731,526,42.0,2020-11-09,1
0,30,70,95656,220,438,17.0,2020-11-09,1
235985,42,424,660609,317,378,27.0,2020-09-16,0
235986,48,374,586948,680,506,21.0,2020-09-16,0
235983,38,30,66895,482,419,43.0,2020-11-09,1
0,66,70,95656,220,438,17.0,2020-11-09,1
236025,36,24,33141,929,827,19.0,2020-09-16,1
236105,30,67,119848,364,390,21.0,2020-09-23,1
236123,30,32,50523,10,13,40.0,2020-11-11,1
233900,28,57,74242,222,368,16.0,2020-03-02,1
235513,144,52,56538,187,341,22.0,2020-06-03,2
235514,48,41,51127,733,553,18.0,2020-06-15,0
235700,64,37,40157,553,463,16.0,2020-07-09,1
235701,54,33,42499,447,406,15.0,2020-07-10,1
235710,76,33,28573,810,608,15.0,2020-07-14,1
